N;bin_DF;bin_N;binomial;hits;hits_n;ignored;ignored_n;monkey;stimulus;task;wrong;wrong_n;adjusted_p
70.0;1.0;70.0;1.22136323407393e-13;0.9142857142857144;64.0;0.0;0.0;a;str;2 Visual Stimuli;0.0857142857142857;6.0;3.175544408592218e-12
84.0;1.0;83.0;1.9590605730151125e-12;0.8571428571428571;72.0;0.0119047619047619;1.0;a;voc;2 Visual Stimuli;0.1309523809523809;11.0;5.0935574898392926e-11
191.0;1.0;184.0;4.1470364875110814e-09;0.6858638743455497;131.0;0.0366492146596858;7.0;b;str;2 Visual Stimuli;0.2774869109947644;53.0;1.0782294867528813e-07
166.0;1.0;163.0;1.0423606589173895e-19;0.8253012048192772;137.0;0.0180722891566265;3.0;b;voc;2 Visual Stimuli;0.1566265060240964;26.0;2.7101377131852124e-18
241.0;1.0;238.0;0.5770667735854003;0.4896265560165975;118.0;0.0124481327800829;3.0;c;str;2 Visual Stimuli;0.4979253112033195;120.0;1.0
279.0;1.0;278.0;0.99510803320549;0.4229390681003584;118.0;0.003584229390681;1.0;c;voc;2 Visual Stimuli;0.5734767025089605;160.0;1.0
316.0;1.0;316.0;7.748831683589508e-55;0.9082278481012658;287.0;0.0;0.0;d;str;2 Visual Stimuli;0.0917721518987341;29.0;2.014696237733272e-53
328.0;1.0;326.0;2.4545317849240748e-80;0.9634146341463414;316.0;0.0060975609756097;2.0;d;voc;2 Visual Stimuli;0.0304878048780487;10.0;6.381782640802594e-79
444.0;1.0;444.0;8.287472862828989e-25;0.7387387387387387;328.0;0.0;0.0;e;str;2 Visual Stimuli;0.2612612612612612;116.0;2.154742944335537e-23
458.0;1.0;453.0;9.976425538243872e-21;0.7074235807860262;324.0;0.0109170305676855;5.0;e;voc;2 Visual Stimuli;0.2816593886462882;129.0;2.593870639943407e-19
117.0;1.0;114.0;0.9445303440576938;0.4188034188034188;49.0;0.0256410256410256;3.0;f;str;2 Visual Stimuli;0.5555555555555556;65.0;1.0
97.0;1.0;94.0;0.6968520311530171;0.4639175257731959;45.0;0.0309278350515463;3.0;f;voc;2 Visual Stimuli;0.5051546391752577;49.0;1.0
437.0;1.0;432.0;1.2777897828397723e-09;0.6361556064073226;278.0;0.011441647597254;5.0;g;str;3 Visual Stimuli;0.3524027459954233;154.0;3.322253435383408e-08
435.0;1.0;432.0;1.9919777989145266e-16;0.6896551724137931;300.0;0.0068965517241379;3.0;g;voc;3 Visual Stimuli;0.3034482758620689;132.0;5.179142277177771e-15
388.0;1.0;384.0;2.3865977919355767e-10;0.6520618556701031;253.0;0.0103092783505154;4.0;h;str;3 Visual Stimuli;0.3376288659793814;131.0;6.205154259032499e-09
380.0;1.0;375.0;1.7930806242719956e-08;0.6342105263157894;241.0;0.0131578947368421;5.0;h;voc;3 Visual Stimuli;0.3526315789473684;134.0;4.662009623107189e-07
459.0;1.0;457.0;1.1972120396842662e-74;0.8954248366013072;411.0;0.0043572984749455;2.0;i;str;2 Visual Stimuli;0.1002178649237472;46.0;3.1127513031790923e-73
449.0;1.0;444.0;1.226054203781383e-46;0.8173719376391982;367.0;0.0111358574610244;5.0;i;voc;2 Visual Stimuli;0.1714922048997773;77.0;3.187740929831596e-45
299.0;1.0;255.0;1.6239764217730556e-05;0.5384615384615384;161.0;0.1471571906354515;44.0;j;str;2 Visual Stimuli;0.31438127090301;94.0;0.0004222338696609
475.0;1.0;411.0;0.9999994022144224;0.3305263157894736;157.0;0.1347368421052631;64.0;j;voc;2 Visual Stimuli;0.5347368421052632;254.0;1.0
222.0;1.0;211.0;2.787765719813648e-08;0.6531531531531531;145.0;0.0495495495495495;11.0;j;str;3 Visual Stimuli;0.2972972972972973;66.0;7.248190871515484e-07
200.0;1.0;194.0;3.529765712191672e-05;0.625;125.0;0.03;6.0;j;voc;3 Visual Stimuli;0.345;69.0;0.0009177390851698
320.0;1.0;305.0;2.959667269465701e-13;0.671875;215.0;0.046875;15.0;k;str;2 Visual Stimuli;0.28125;90.0;7.695134900610824e-12
386.0;1.0;372.0;0.1165117696831676;0.5129533678756477;198.0;0.0362694300518134;14.0;k;voc;2 Visual Stimuli;0.4507772020725388;174.0;1.0
503.0;1.0;498.0;1.8683265519311688e-93;0.9145129224652088;460.0;0.0099403578528827;5.0;k;str;3 Visual Stimuli;0.0755467196819085;38.0;4.857649035021038e-92
498.0;1.0;493.0;1.5430983533258958e-74;0.8775100401606426;437.0;0.0100401606425702;5.0;k;voc;3 Visual Stimuli;0.1124497991967871;56.0;4.012055718647329e-73
