monkey;total trials;Kruskal-Wallis;pvalue;IQR;median;stimulus;task;adj-pvalue
a;64;28.223150478484758;1.0810382019398094e-07;0.72725;1.3065;str;2 Visual Stimuli;2.8106993250435045e-06
a;72;28.223150478484758;1.0810382019398094e-07;1.3195;2.2634999999999996;voc;2 Visual Stimuli;2.8106993250435045e-06
b;131;54.651204068128976;1.439361063494321e-13;0.6625000000000001;1.904;str;2 Visual Stimuli;3.742338765085235e-12
b;137;54.651204068128976;1.439361063494321e-13;1.944;2.95;voc;2 Visual Stimuli;3.742338765085235e-12
c;118;1.517528636373638;0.21799386764541914;0.9592500000000002;0.9989999999999999;str;2 Visual Stimuli;1
c;118;1.517528636373638;0.21799386764541914;1.14275;0.928;voc;2 Visual Stimuli;1
d;287;2.7282193607633944;0.0985891492670908;1.3514999999999997;1.797;str;2 Visual Stimuli;1
d;316;2.7282193607633944;0.0985891492670908;1.60225;1.8639999999999999;voc;2 Visual Stimuli;1
e;328;21.98669855631064;2.7454659916925335e-06;1.132;1.634;str;2 Visual Stimuli;7.138211578400587e-05
e;324;21.98669855631064;2.7454659916925335e-06;1.76475;1.9605000000000001;voc;2 Visual Stimuli;7.138211578400587e-05
f;49;3.8428347806821104;0.04995898739725528;1.737;1.308;str;2 Visual Stimuli;1
f;45;3.8428347806821104;0.04995898739725528;3.01;2.308;voc;2 Visual Stimuli;1
g;278;2.202394346953787;0.13779655513577743;1.4929999999999999;1.4295;str;3 Visual Stimuli;1
g;300;2.202394346953787;0.13779655513577743;1.8049999999999997;1.626;voc;3 Visual Stimuli;1
h;253;0.2725841265774669;0.6016035624837686;1.3179999999999998;1.216;str;3 Visual Stimuli;1
h;241;0.2725841265774669;0.6016035624837686;1.4360000000000002;1.319;voc;3 Visual Stimuli;1
i;411;82.99552833406992;8.22392157914408e-20;1.2525000000000004;2.289;str;2 Visual Stimuli;2.1382196105774608e-18
i;367;82.99552833406992;8.22392157914408e-20;1.4155000000000002;2.946;voc;2 Visual Stimuli;2.1382196105774608e-18
j;161;0.029377747471739477;0.8639097422369635;2.469;3.191;str;2 Visual Stimuli;1
j;157;0.029377747471739477;0.8639097422369635;3.1279999999999997;3.554;voc;2 Visual Stimuli;1
j;145;26.387776791921297;2.793023946405625e-07;1.2040000000000002;1.433;str;3 Visual Stimuli;7.261862260654625e-06
j;125;26.387776791921297;2.793023946405625e-07;1.8409999999999997;1.972;voc;3 Visual Stimuli;7.261862260654625e-06
k;215;2.6411311344925084;0.1041293814232836;1.5670000000000004;2.282;str;2 Visual Stimuli;1
k;198;2.6411311344925084;0.1041293814232836;1.53675;2.467;voc;2 Visual Stimuli;1
k;460;120.62439731068827;4.617838766859547e-28;0.67875;0.919;str;3 Visual Stimuli;1.2006380793834822e-26
k;437;120.62439731068827;4.617838766859547e-28;0.869;1.337;voc;3 Visual Stimuli;1.2006380793834822e-26
