N;bin_DF;bin_N;binomial;hits;hits_n;ignored;ignored_n;monkey;stimulus;task;wrong;wrong_n;adjusted_p;condition
530.0;1.0;529.0;9.364073819362323e-102;0.9264150943396228;491.0;0.0018867924528301;1.0;a;str;['twitter','puretone'];0.0716981132075471;38.0;3.7456295277449295e-100;Twitter vs Pure Tone
186.0;1.0;183.0;4.438823783447381e-22;0.8279569892473119;154.0;0.0161290322580645;3.0;a;str;['phee','puretone'];0.1559139784946236;29.0;1.7755295133789522e-20;Phee vs Pure Tone
333.0;1.0;333.0;0.0002180375294009;0.5975975975975976;199.0;0.0;0.0;a;voc;['infant','twitter'];0.4024024024024024;134.0;0.0087215011760389;Juvenile vs Twitter
185.0;1.0;184.0;4.846444929580072e-23;0.8432432432432433;156.0;0.0054054054054054;1.0;a;phee;['phee','puretone'];0.1513513513513513;28.0;1.938577971832029e-21;Phee vs Pure Tone
535.0;1.0;528.0;1.2612540150121946e-62;0.8355140186915888;447.0;0.0130841121495327;7.0;a;twi;['twitter','puretone'];0.1514018691588785;81.0;5.0450160600487785e-61;Twitter vs Pure Tone
335.0;1.0;334.0;1.162191794065352e-05;0.6149253731343284;206.0;0.0029850746268656;1.0;a;twi;['infant','twitter'];0.382089552238806;128.0;0.0004648767176261;Juvenile vs Twitter
54.0;1.0;54.0;0.1704454706100485;0.5740740740740741;31.0;0.0;0.0;a;twi;['wnoise','twitter'];0.4259259259259259;23.0;1.0;Noise vs Twitter
54.0;1.0;54.0;0.0099171633640341;0.6666666666666666;36.0;0.0;0.0;a;wNoi.;['wnoise','twitter'];0.3333333333333333;18.0;0.3966865345613656;Noise vs Twitter
200.0;1.0;198.0;1.3803032953577157e-20;0.81;162.0;0.01;2.0;b;str;['twitter','puretone'];0.18;36.0;5.521213181430864e-19;Twitter vs Pure Tone
320.0;1.0;315.0;3.9798388985384604e-10;0.6625;212.0;0.015625;5.0;b;str;['phee','puretone'];0.321875;103.0;1.591935559415384e-08;Phee vs Pure Tone
218.0;1.0;217.0;0.9613383701881733;0.4403669724770642;96.0;0.0045871559633027;1.0;b;voc;['infant','twitter'];0.555045871559633;121.0;1.0;Juvenile vs Twitter
316.0;1.0;314.0;2.5801353461909543e-10;0.6708860759493671;212.0;0.0063291139240506;2.0;b;phee;['phee','puretone'];0.3227848101265823;102.0;1.0320541384763816e-08;Phee vs Pure Tone
191.0;1.0;190.0;2.4949383665138029e-29;0.8795811518324608;168.0;0.0052356020942408;1.0;b;twi;['twitter','puretone'];0.1151832460732984;22.0;9.979753466055209e-28;Twitter vs Pure Tone
214.0;1.0;214.0;1.9402613268904622e-09;0.7009345794392523;150.0;0.0;0.0;b;twi;['infant','twitter'];0.2990654205607476;64.0;7.761045307561849e-08;Juvenile vs Twitter
150.0;1.0;149.0;1.8991542658353476e-19;0.8466666666666667;127.0;0.0066666666666666;1.0;b;twi;['wnoise','twitter'];0.1466666666666666;22.0;7.59661706334139e-18;Noise vs Twitter
154.0;1.0;146.0;0.998187609506231;0.3636363636363636;56.0;0.0519480519480519;8.0;b;wNoi.;['wnoise','twitter'];0.5844155844155844;90.0;1.0;Noise vs Twitter
389.0;1.0;389.0;1.9653541647452678e-77;0.9331619537275064;363.0;0.0;0.0;d;str;['twitter','puretone'];0.0668380462724935;26.0;7.86141665898107e-76;Twitter vs Pure Tone
328.0;1.0;324.0;8.932710392386042e-47;0.8658536585365854;284.0;0.0121951219512195;4.0;d;str;['phee','puretone'];0.1219512195121951;40.0;3.573084156954417e-45;Phee vs Pure Tone
40.0;1.0;33.0;0.0022756920661777;0.625;25.0;0.175;7.0;d;voc;['infant','twitter'];0.2;8.0;0.091027682647109;Juvenile vs Twitter
336.0;1.0;335.0;6.84137036720516e-55;0.8958333333333334;301.0;0.0029761904761904;1.0;d;phee;['phee','puretone'];0.1011904761904761;34.0;2.736548146882064e-53;Phee vs Pure Tone
386.0;1.0;386.0;4.674839505664969e-68;0.911917098445596;352.0;0.0;0.0;d;twi;['twitter','puretone'];0.0880829015544041;34.0;1.8699358022659878e-66;Twitter vs Pure Tone
33.0;1.0;33.0;0.3641662404406816;0.5454545454545454;18.0;0.0;0.0;d;twi;['infant','twitter'];0.4545454545454545;15.0;1.0;Juvenile vs Twitter
129.0;1.0;129.0;1.2225722610064198e-18;0.8682170542635659;112.0;0.0;0.0;d;twi;['wnoise','twitter'];0.1317829457364341;17.0;4.89028904402568e-17;Noise vs Twitter
130.0;1.0;129.0;4.2740686869144725e-23;0.9;117.0;0.0076923076923076;1.0;d;wNoi.;['wnoise','twitter'];0.0923076923076923;12.0;1.7096274747657886e-21;Noise vs Twitter
129.0;1.0;128.0;3.889317585852533e-12;0.7906976744186046;102.0;0.0077519379844961;1.0;i;str;['twitter','puretone'];0.2015503875968992;26.0;1.5557270343410129e-10;Twitter vs Pure Tone
9.0;1.0;9.0;0.01953125;0.8888888888888888;8.0;0.0;0.0;i;str;['phee','puretone'];0.1111111111111111;1.0;0.78125;Phee vs Pure Tone
1.0;1.0;1.0;0.5;1.0;1.0;0.0;0.0;i;voc;['infant','twitter'];0.0;0.0;1.0;Juvenile vs Twitter
10.0;1.0;10.0;0.171875;0.7;7.0;0.0;0.0;i;phee;['phee','puretone'];0.3;3.0;1.0;Phee vs Pure Tone
120.0;1.0;119.0;4.267672089423354e-12;0.8;96.0;0.0083333333333333;1.0;i;twi;['twitter','puretone'];0.1916666666666666;23.0;1.7070688357693414e-10;Twitter vs Pure Tone
4.0;1.0;4.0;0.6875;0.5;2.0;0.0;0.0;i;twi;['infant','twitter'];0.5;2.0;1.0;Juvenile vs Twitter
142.0;1.0;141.0;8.431397049925659e-11;0.7605633802816901;108.0;0.0070422535211267;1.0;i;twi;['wnoise','twitter'];0.2323943661971831;33.0;3.3725588199702636e-09;Noise vs Twitter
144.0;1.0;143.0;6.25868548822466e-23;0.8819444444444444;127.0;0.0069444444444444;1.0;i;wNoi.;['wnoise','twitter'];0.1111111111111111;16.0;2.503474195289864e-21;Noise vs Twitter
590.0;1.0;588.0;1.9012498778173308e-47;0.7864406779661017;464.0;0.0033898305084745;2.0;k;str;['twitter','puretone'];0.2101694915254237;124.0;7.604999511269323e-46;Twitter vs Pure Tone
597.0;1.0;596.0;1.3379643179614924e-88;0.8827470686767169;527.0;0.0016750418760469;1.0;k;str;['phee','puretone'];0.1155778894472361;69.0;5.35185727184597e-87;Phee vs Pure Tone
751.0;1.0;749.0;6.716406717819066e-31;0.7057256990679095;530.0;0.0026631158455392;2.0;k;voc;['infant','twitter'];0.2916111850865512;219.0;2.686562687127627e-29;Juvenile vs Twitter
632.0;1.0;629.0;1.0065321095774383e-64;0.8212025316455697;519.0;0.0047468354430379;3.0;k;phee;['phee','puretone'];0.1740506329113924;110.0;4.026128438309753e-63;Phee vs Pure Tone
601.0;1.0;598.0;1.286162993236871e-50;0.7920133111480865;476.0;0.0049916805324459;3.0;k;twi;['twitter','puretone'];0.2029950083194675;122.0;5.144651972947484e-49;Twitter vs Pure Tone
787.0;1.0;785.0;3.134731728958474e-30;0.6988564167725541;550.0;0.0025412960609911;2.0;k;twi;['infant','twitter'];0.2986022871664548;235.0;1.2538926915833896e-28;Juvenile vs Twitter
541.0;1.0;532.0;1.886232245303683e-12;0.6395563770794824;346.0;0.0166358595194085;9.0;k;twi;['wnoise','twitter'];0.3438077634011091;186.0;7.544928981214732e-11;Noise vs Twitter
624.0;1.0;615.0;0.8527808806451279;0.4727564102564102;295.0;0.0144230769230769;9.0;k;wNoi.;['wnoise','twitter'];0.5128205128205128;320.0;1.0;Noise vs Twitter
