animal,hitrate,milestone,trials,total_trials,sessions,reward,step
f,0.8181818181818182,size,11,584,3,9,2
f,0.9629629629629629,size,27,584,3,26,3
f,0.8333333333333334,size,6,584,1,5,4
f,1.0,size,9,584,1,9,5
f,0.9230769230769231,size,26,584,2,24,6
f,1.0,size,9,584,1,9,7
f,1.0,size,9,584,1,9,8
f,1.0,size,4,584,1,4,9
f,1.0,size,9,584,1,9,10
f,0.7777777777777778,size,9,584,1,7,11
f,0.6166666666666667,size,60,584,3,37,12
f,0.375,size,32,584,2,12,13
f,0.8888888888888888,size,9,584,1,8,14
f,0.8888888888888888,size,9,584,1,8,15
f,0.8235294117647058,position,17,584,1,14,16
f,0.75,position,12,584,1,9,17
f,1.0,position,9,584,1,9,18
f,0.8888888888888888,position,9,584,1,8,19
f,1.0,position,9,584,1,9,20
f,1.0,position,9,584,1,9,21
f,1.0,position,9,584,1,9,22
f,0.9,position,10,584,1,9,23
f,1.0,position,9,584,1,9,24
f,0.9,position,10,584,1,9,25
f,0.9,position,10,584,1,9,26
f,0.8888888888888888,position,9,584,1,8,27
f,0.7272727272727273,position,11,584,1,8,28
f,0.8,position,10,584,1,8,29
f,0.8888888888888888,position,9,584,1,8,30
f,0.9,sound,10,584,1,9,31
f,0.8888888888888888,sound,9,584,1,8,32
f,0.8,sound,10,584,1,8,33
f,0.8571428571428571,sound,7,584,1,6,34
f,1.0,sound,6,584,1,6,37
f,0.9,sound,10,584,1,9,38
f,0.9,sound,10,584,1,9,39
f,1.0,sound,9,584,1,9,40
f,1.0,sound,9,584,1,9,41
f,1.0,sound,9,584,1,9,42
f,1.0,sound,9,584,1,9,43
f,0.9,sound,10,584,1,9,44
f,1.0,sound,9,584,1,9,45
f,1.0,distractor,9,584,1,9,46
f,0.9166666666666666,distractor,12,584,2,11,47
f,0.8888888888888888,distractor,9,584,1,8,48
f,0.6607142857142857,distractor,56,584,1,37,49
k,1.0,size,9,617,1,9,2
k,1.0,size,9,617,1,9,3
k,1.0,size,9,617,1,9,4
k,1.0,size,9,617,1,9,5
k,1.0,size,9,617,1,9,6
k,1.0,size,9,617,1,9,7
k,1.0,size,9,617,1,9,8
k,1.0,size,8,617,1,8,9
k,0.8888888888888888,size,9,617,1,8,10
k,0.8888888888888888,size,9,617,1,8,11
k,1.0,size,9,617,1,9,12
k,0.9166666666666666,size,12,617,2,11,13
k,1.0,size,8,617,1,8,14
k,0.8888888888888888,size,9,617,1,8,15
k,1.0,position,3,617,1,3,16
k,1.0,position,8,617,1,8,22
k,1.0,position,9,617,1,9,23
k,0.7058823529411765,position,17,617,1,12,24
k,0.8947368421052632,position,19,617,2,17,25
k,0.6,position,35,617,3,21,26
k,0.8888888888888888,position,9,617,1,8,27
k,0.7142857142857143,position,28,617,1,20,28
k,0.6923076923076923,position,13,617,1,9,29
k,0.5247524752475248,position,101,617,1,53,30
k,0.6578947368421053,sound,38,617,1,25,31
k,0.8,sound,10,617,1,8,32
k,0.8,sound,10,617,1,8,33
k,0.7333333333333333,sound,15,617,1,11,34
k,0.8,sound,10,617,1,8,35
k,0.9,sound,10,617,1,9,36
k,0.6470588235294118,sound,17,617,2,11,37
k,1.0,sound,9,617,1,9,38
k,1.0,sound,8,617,1,8,39
k,1.0,sound,9,617,1,9,40
k,0.8181818181818182,sound,11,617,1,9,41
k,1.0,sound,9,617,1,9,42
k,0.75,sound,4,617,1,3,43
k,0.9,sound,10,617,1,9,44
k,1.0,sound,14,617,2,14,45
k,1.0,distractor,14,617,1,14,46
k,0.8888888888888888,distractor,9,617,1,8,47
k,0.5,distractor,28,617,1,14,48
k,0.5384615384615384,distractor,13,617,1,7,49
c,1.0,size,9,899,1,9,2
