trial,step,objtype,object,objflag,action,stimusize,stimposx,stimposy,touchposx,touchposy,monkey,timestamp,tone,date,weight,disName,disCoor,sessionNumber,mxbi,version,animalsFound,sessionType,animalsMerged,filename,script,experiment,task,type,stimuli,amp,stimTouched,reward,tarName,animalsExpected,shift,jump,total_trials,p_trial
1,2,,reward,,1500,246,742.0,300.0,774,304,f,925018,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",,False,584,0.17123287671232876
2,3,,reward,,1500,236,742.0,300.0,774,304,f,930323,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",1.0,False,584,0.3424657534246575
3,3,,reward,,1500,236,742.0,300.0,774,304,f,945951,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,0.5136986301369862
4,3,,reward,,1500,236,742.0,300.0,774,304,f,971992,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,0.684931506849315
5,3,,reward,,1500,236,742.0,300.0,774,304,f,979327,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,0.8561643835616438
6,3,,reward,,1500,236,742.0,300.0,774,304,f,1018645,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,1.0273972602739725
7,3,,reward,,1500,236,742.0,300.0,774,304,f,1122733,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,1.1986301369863013
8,3,,reward,,1500,236,742.0,300.0,774,304,f,1155703,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,1.36986301369863
9,3,,reward,,1500,236,742.0,300.0,774,304,f,1299150,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,1.5410958904109588
10,3,,reward,,1500,236,742.0,300.0,735,368,f,1703220,-1,2019-08-01 15:23:00,-1,,,20,mxbi6,8,"['almo', 'blake']",Staircase,,DATA20190801152357.txt,msa20.py,AUT,AUT,2AC,,,btriangle-pilot,True,btriangle-pilot,"['c', 'f']",0.0,False,584,1.7123287671232876
