monkey,HitRate,p_trials,Trials,stimulus,sessionType,date
b,0.5785876993166287,5,8781,reward,2 Visual Stimuli,2019-08-30 13:02:08
b,0.5353075170842825,10,8781,reward,2 Visual Stimuli,2019-09-03 11:04:03
b,0.6013667425968109,15,8781,reward,2 Visual Stimuli,2019-09-09 11:02:06
b,0.6902050113895216,20,8781,reward,2 Visual Stimuli,2019-09-13 11:04:08
b,0.6537585421412301,25,8781,reward,2 Visual Stimuli,2019-09-18 11:04:04
b,0.7539863325740319,30,8781,reward,2 Visual Stimuli,2019-09-24 13:00:07
b,0.7539863325740319,35,8781,reward,2 Visual Stimuli,2019-09-30 09:03:08
b,0.7312072892938497,40,8781,reward,2 Visual Stimuli,2019-10-02 10:00:05
b,0.7562642369020501,45,8781,reward,2 Visual Stimuli,2019-10-10 13:05:07
b,0.6810933940774487,50,8781,wrong,2 Visual Stimuli,2019-10-17 13:02:06
b,0.6674259681093394,55,8781,wrong,2 Visual Stimuli,2019-10-25 09:03:01
b,0.6697038724373576,60,8781,reward,2 Visual Stimuli,2019-10-29 13:05:09
b,0.6902050113895216,65,8781,wrong,2 Visual Stimuli,2019-11-05 12:01:08
b,0.7334851936218679,70,8781,reward,2 Visual Stimuli,2019-11-07 11:03:07
b,0.7539863325740319,75,8781,reward,2 Visual Stimuli,2019-11-12 14:05:01
b,0.7585421412300684,80,8781,reward,2 Visual Stimuli,2019-11-16 14:04:08
b,0.8382687927107062,85,8781,reward,2 Visual Stimuli,2019-11-23 11:02:05
b,0.835990888382688,90,8781,wrong,2 Visual Stimuli,2019-11-28 11:02:02
b,0.7881548974943052,95,8781,reward,2 Visual Stimuli,2019-12-18 14:02:05
b,0.7835990888382688,100,8781,wrong,2 Visual Stimuli,2020-01-22 11:00:02
a,0.5546666666666666,5,7517,wrong,2 Visual Stimuli,2019-08-30 13:02:08
a,0.5306666666666666,10,7517,wrong,2 Visual Stimuli,2019-09-03 11:04:03
a,0.6026666666666667,15,7517,wrong,2 Visual Stimuli,2019-09-06 11:01:05
a,0.608,20,7517,reward,2 Visual Stimuli,2019-09-06 11:01:05
a,0.608,25,7517,wrong,2 Visual Stimuli,2019-09-11 13:00:06
a,0.6613333333333333,30,7517,wrong,2 Visual Stimuli,2019-09-13 11:04:08
a,0.5706666666666667,35,7517,reward,2 Visual Stimuli,2019-09-18 11:04:04
a,0.6746666666666666,40,7517,wrong,2 Visual Stimuli,2019-09-20 11:05:05
a,0.712,45,7517,wrong,2 Visual Stimuli,2019-09-25 12:02:03
a,0.6746666666666666,50,7517,reward,2 Visual Stimuli,2019-09-30 09:03:08
a,0.7226666666666667,55,7517,wrong,2 Visual Stimuli,2019-10-02 10:00:05
a,0.7893333333333333,60,7517,reward,2 Visual Stimuli,2019-10-11 13:05:07
a,0.808,65,7517,reward,2 Visual Stimuli,2019-10-15 13:05:02
a,0.8213333333333334,70,7517,reward,2 Visual Stimuli,2019-10-25 09:03:01
a,0.8746666666666667,75,7517,reward,2 Visual Stimuli,2019-11-01 11:04:08
a,0.816,80,7517,reward,2 Visual Stimuli,2019-11-06 13:00:04
a,0.832,85,7517,reward,2 Visual Stimuli,2019-11-11 11:04:03
a,0.7546666666666667,90,7517,wrong,2 Visual Stimuli,2020-01-23 15:05:07
a,0.7653333333333333,95,7517,wrong,2 Visual Stimuli,2020-02-05 12:01:00
a,0.8533333333333334,100,7517,reward,2 Visual Stimuli,2020-02-14 11:04:07
k,0.5674418604651162,5,4305,wrong,2 Visual Stimuli,2019-11-14 14:00:08
k,0.5255813953488372,10,4305,wrong,2 Visual Stimuli,2019-11-16 14:05:03
k,0.5581395348837209,15,4305,wrong,2 Visual Stimuli,2019-11-21 15:04:08
k,0.5255813953488372,20,4305,reward,2 Visual Stimuli,2019-11-23 12:02:06
k,0.5488372093023256,25,4305,wrong,2 Visual Stimuli,2019-11-27 14:01:08
k,0.5209302325581395,30,4305,reward,2 Visual Stimuli,2019-12-18 14:04:09
k,0.5953488372093023,35,4305,reward,2 Visual Stimuli,2019-12-23 12:01:02
k,0.5906976744186047,40,4305,wrong,2 Visual Stimuli,2020-02-04 16:00:03
k,0.6837209302325581,45,4305,reward,2 Visual Stimuli,2021-03-05 13:01:27
k,0.6837209302325581,50,4305,reward,2 Visual Stimuli,2021-03-05 13:52:38
k,0.7069767441860465,55,4305,reward,2 Visual Stimuli,2021-03-08 11:35:20
k,0.6790697674418604,60,4305,reward,2 Visual Stimuli,2021-03-09 11:12:32
k,0.6790697674418604,65,4305,reward,2 Visual Stimuli,2021-03-09 11:55:56
k,0.6325581395348837,70,4305,reward,2 Visual Stimuli,2021-03-12 11:52:23
k,0.6511627906976745,75,4305,wrong,2 Visual Stimuli,2021-03-15 12:36:51
k,0.5813953488372093,80,4305,wrong,2 Visual Stimuli,2021-03-17 14:38:31
k,0.641860465116279,85,4305,wrong,2 Visual Stimuli,2021-03-18 15:13:56
k,0.6976744186046512,90,4305,wrong,2 Visual Stimuli,2021-03-19 14:52:55
k,0.7023255813953488,95,4305,reward,2 Visual Stimuli,2021-03-19 11:42:20
k,0.6093023255813953,100,4305,reward,2 Visual Stimuli,2021-03-20 13:22:19
j,0.48936170212765956,5,1887,wrong,2 Visual Stimuli,2019-11-14 14:00:08
j,0.425531914893617,10,1887,wrong,2 Visual Stimuli,2019-11-14 14:00:08
j,0.46808510638297873,15,1887,reward,2 Visual Stimuli,2019-11-17 16:00:09
j,0.5212765957446809,20,1887,wrong,2 Visual Stimuli,2019-11-24 13:01:01
j,0.46808510638297873,25,1887,reward,2 Visual Stimuli,2019-11-26 12:04:03
j,0.46808510638297873,30,1887,wrong,2 Visual Stimuli,2019-11-26 12:04:03
j,0.5212765957446809,35,1887,reward,2 Visual Stimuli,2019-11-26 12:04:03
j,0.46808510638297873,40,1887,wrong,2 Visual Stimuli,2019-11-26 12:04:03
j,0.5531914893617021,45,1887,wrong,2 Visual Stimuli,2019-11-27 14:01:08
j,0.5531914893617021,50,1887,wrong,2 Visual Stimuli,2019-11-27 14:01:08
j,0.4787234042553192,55,1887,reward,2 Visual Stimuli,2019-11-28 11:02:03
j,0.5531914893617021,60,1887,wrong,2 Visual Stimuli,2019-11-28 11:02:03
