animal;HitRate;p_trials;Trials;stimulus;task;date
b;0.5833333333333334;10;1084;reward;['infant','twitter'];2021-01-08 10:31:10
b;0.6018518518518519;20;1084;wrong;['infant','twitter'];2021-01-12 15:18:56
b;0.6574074074074074;30;1084;reward;['infant','twitter'];2021-01-12 14:53:43
b;0.5648148148148148;40;1084;wrong;['infant','twitter'];2021-01-16 14:03:12
b;0.5925925925925926;50;1084;wrong;['infant','twitter'];2021-01-19 13:38:25
b;0.5277777777777778;60;1084;wrong;['infant','twitter'];2021-01-19 15:02:11
b;0.5925925925925926;70;1084;wrong;['infant','twitter'];2021-01-21 10:58:38
b;0.6296296296296297;80;1084;wrong;['infant','twitter'];2021-01-21 15:19:50
b;0.6759259259259259;90;1084;reward;['infant','twitter'];2021-01-22 15:24:06
b;0.5833333333333334;100;1084;wrong;['infant','twitter'];2021-01-22 13:22:21
a;0.5652173913043478;10;1844;reward;['infant','twitter'];2021-01-08 11:58:54
a;0.592391304347826;20;1844;reward;['infant','twitter'];2021-01-12 15:24:45
a;0.5760869565217391;30;1844;reward;['infant','twitter'];2021-01-12 14:47:20
a;0.5652173913043478;40;1844;reward;['infant','twitter'];2021-01-16 13:54:05
a;0.6358695652173914;50;1844;wrong;['infant','twitter'];2021-01-16 15:52:11
a;0.657608695652174;60;1844;wrong;['infant','twitter'];2021-01-19 13:28:15
a;0.5760869565217391;70;1844;reward;['infant','twitter'];2021-01-19 15:03:53
a;0.5706521739130435;80;1844;reward;['infant','twitter'];2021-01-20 15:51:37
a;0.6467391304347826;90;1844;reward;['infant','twitter'];2021-01-21 14:57:23
a;0.5978260869565217;100;1844;wrong;['infant','twitter'];2021-01-22 15:31:05
k;0.6938110749185668;10;3070;reward;['infant','twitter'];2021-06-17 09:53:59
k;0.6710097719869706;20;3070;wrong;['infant','twitter'];2021-06-17 11:22:37
k;0.6482084690553745;30;3070;wrong;['infant','twitter'];2021-06-18 14:52:09
k;0.7133550488599348;40;3070;reward;['infant','twitter'];2021-06-21 12:03:02
k;0.6970684039087948;50;3070;reward;['infant','twitter'];2021-06-21 14:12:49
k;0.7198697068403909;60;3070;wrong;['infant','twitter'];2021-06-22 14:50:31
k;0.6938110749185668;70;3070;wrong;['infant','twitter'];2021-06-23 15:16:33
k;0.7361563517915309;80;3070;wrong;['infant','twitter'];2021-06-23 13:16:51
k;0.6612377850162866;90;3070;reward;['infant','twitter'];2021-06-24 14:03:03
k;0.6905537459283387;100;3070;reward;['infant','twitter'];2021-06-24 14:36:15
d;0.6896551724137931;10;299;reward;['infant','twitter'];2021-06-10 11:03:38
d;0.3793103448275862;20;299;wrong;['infant','twitter'];2021-06-14 11:15:27
d;0.4482758620689655;30;299;wrong;['infant','twitter'];2021-06-14 11:24:02
d;0.4827586206896552;40;299;wrong;['infant','twitter'];2021-06-14 11:30:21
d;0.4482758620689655;50;299;wrong;['infant','twitter'];2021-06-14 11:52:24
d;0.6896551724137931;60;299;wrong;['infant','twitter'];2021-06-14 13:48:55
d;0.4482758620689655;70;299;wrong;['infant','twitter'];2021-06-14 15:17:07
d;0.7241379310344828;80;299;reward;['infant','twitter'];2021-06-14 15:46:35
d;0.5862068965517241;90;299;reward;['infant','twitter'];2021-06-15 11:05:27
d;0.7241379310344828;100;299;reward;['infant','twitter'];2021-06-15 14:11:11
b;0.48936170212765956;10;1410;reward;['phee','puretone'];2021-02-23 12:27:29
b;0.5886524822695035;20;1410;reward;['phee','puretone'];2021-02-24 13:10:56
b;0.574468085106383;30;1410;reward;['phee','puretone'];2021-03-09 11:48:31
b;0.6170212765957447;40;1410;reward;['phee','puretone'];2021-03-17 11:05:15
b;0.6808510638297872;50;1410;reward;['phee','puretone'];2021-05-26 12:31:42
b;0.6808510638297872;60;1410;wrong;['phee','puretone'];2021-05-27 10:53:34
b;0.6808510638297872;70;1410;wrong;['phee','puretone'];2021-05-27 15:04:40
b;0.6453900709219859;80;1410;reward;['phee','puretone'];2021-05-28 13:08:11
b;0.6666666666666666;90;1410;wrong;['phee','puretone'];2021-05-28 16:11:45
b;0.7304964539007093;100;1410;reward;['phee','puretone'];2021-05-29 14:20:52
a;0.65;10;1000;wrong;['phee','puretone'];2021-02-23 13:19:04
a;0.56;20;1000;wrong;['phee','puretone'];2021-02-24 14:54:45
a;0.63;30;1000;reward;['phee','puretone'];2021-03-09 11:55:44
a;0.71;40;1000;reward;['phee','puretone'];2021-03-15 14:48:24
a;0.74;50;1000;reward;['phee','puretone'];2021-03-20 14:26:54
a;0.88;60;1000;reward;['phee','puretone'];2021-05-26 11:22:32
a;0.77;70;1000;reward;['phee','puretone'];2021-05-27 13:05:18
a;0.88;80;1000;reward;['phee','puretone'];2021-05-27 16:12:51
a;0.86;90;1000;reward;['phee','puretone'];2021-05-28 15:32:41
a;0.87;100;1000;reward;['phee','puretone'];2021-05-29 14:24:18
k;0.8421052631578947;10;1712;wrong;['phee','puretone'];2021-06-11 12:41:49
k;0.8421052631578947;20;1712;reward;['phee','puretone'];2021-06-11 13:09:52
k;0.8596491228070176;30;1712;reward;['phee','puretone'];2021-06-14 11:11:43
k;0.8304093567251462;40;1712;reward;['phee','puretone'];2021-06-14 14:23:56
k;0.8538011695906432;50;1712;reward;['phee','puretone'];2021-06-14 13:45:57
k;0.8771929824561403;60;1712;wrong;['phee','puretone'];2021-06-15 11:12:43
k;0.8596491228070176;70;1712;reward;['phee','puretone'];2021-06-15 12:04:45
k;0.8888888888888888;80;1712;reward;['phee','puretone'];2021-06-15 12:16:04
k;0.8888888888888888;90;1712;reward;['phee','puretone'];2021-06-16 13:21:08
k;0.8947368421052632;100;1712;reward;['phee','puretone'];2021-06-16 15:52:30
d;0.8448275862068966;10;1168;wrong;['phee','puretone'];2021-05-26 11:04:51
d;0.8362068965517241;20;1168;reward;['phee','puretone'];2021-05-27 15:46:53
d;0.896551724137931;30;1168;wrong;['phee','puretone'];2021-05-29 13:34:15
d;0.9482758620689655;40;1168;reward;['phee','puretone'];2021-06-02 11:23:56
d;0.9224137931034483;50;1168;reward;['phee','puretone'];2021-06-03 12:46:36
d;0.8448275862068966;60;1168;reward;['phee','puretone'];2021-06-03 14:08:47
d;0.9310344827586207;70;1168;reward;['phee','puretone'];2021-06-03 14:40:03
d;0.8793103448275862;80;1168;reward;['phee','puretone'];2021-06-04 14:22:36
d;0.8275862068965517;90;1168;wrong;['phee','puretone'];2021-06-05 13:29:15
d;0.853448275862069;100;1168;reward;['phee','puretone'];2021-06-06 12:56:55
b;0.8535031847133758;10;1575;reward;['twitter','puretone'];2020-10-29 14:26:17
b;0.8471337579617835;20;1575;reward;['twitter','puretone'];2020-10-29 14:13:12
b;0.8726114649681529;30;1575;reward;['twitter','puretone'];2020-11-02 12:15:01
b;0.89171974522293;40;1575;reward;['twitter','puretone'];2020-11-02 16:25:13
b;0.9299363057324841;50;1575;reward;['twitter','puretone'];2020-11-03 13:26:28
b;0.8980891719745223;60;1575;reward;['twitter','puretone'];2020-11-04 09:34:44
b;0.9490445859872612;70;1575;reward;['twitter','puretone'];2020-11-05 15:25:16
b;0.8343949044585988;80;1575;reward;['twitter','puretone'];2020-11-06 15:48:45
b;0.8726114649681529;90;1575;reward;['twitter','puretone'];2020-11-12 15:04:00
b;0.8407643312101911;100;1575;reward;['twitter','puretone'];2020-11-12 12:35:11
a;0.9213051823416507;10;5215;reward;['twitter','puretone'];2020-10-29 10:56:29
a;0.9097888675623801;20;5215;reward;['twitter','puretone'];2020-10-30 14:33:00
a;0.8694817658349329;30;5215;reward;['twitter','puretone'];2020-10-30 16:11:01
a;0.8656429942418427;40;5215;reward;['twitter','puretone'];2020-11-02 13:09:48
a;0.9232245681381958;50;5215;reward;['twitter','puretone'];2020-11-03 12:48:22
a;0.9059500959692899;60;5215;reward;['twitter','puretone'];2020-11-04 15:22:40
a;0.9500959692898272;70;5215;reward;['twitter','puretone'];2020-11-05 16:07:48
a;0.8848368522072937;80;5215;reward;['twitter','puretone'];2020-11-05 09:17:20
a;0.8905950095969289;90;5215;reward;['twitter','puretone'];2020-11-12 11:05:09
a;0.8982725527831094;100;5215;reward;['twitter','puretone'];2020-11-12 13:06:25
k;0.7602339181286549;10;1711;wrong;['twitter','puretone'];2021-05-26 10:13:55
