N;bin_DF;bin_N;binomial;hits;hits_n;ignored;ignored_n;monkey;stimulus;task;wrong;wrong_n;adjusted_p
535.0;1.0;528.0;1.2612540150121946e-62;0.8355140186915888;447.0;0.013084112149532711;7.0;a;vocMAT;['twitter','puretone'];0.15140186915887852;81.0;5.0450160600487785e-61
191.0;1.0;190.0;2.4949383665138029e-29;0.8795811518324608;168.0;0.005235602094240838;1.0;b;vocMAT;['twitter','puretone'];0.11518324607329843;22.0;9.97975346605521e-28
386.0;1.0;386.0;4.674839505664969e-68;0.9119170984455959;352.0;0.0;0.0;d;vocMAT;['twitter','puretone'];0.08808290155440414;34.0;1.8699358022659875e-66
120.0;1.0;119.0;4.267672089423354e-12;0.8;96.0;0.008333333333333333;1.0;i;vocMAT;['twitter','puretone'];0.19166666666666668;23.0;1.7070688357693417e-10
601.0;1.0;598.0;1.286162993236871e-50;0.7920133111480865;476.0;0.004991680532445923;3.0;k;vocMAT;['twitter','puretone'];0.20299500831946754;122.0;5.144651972947484e-49
530.0;1.0;529.0;9.364073819362324e-102;0.9264150943396227;491.0;0.0018867924528301887;1.0;a;str;['twitter','puretone'];0.07169811320754717;38.0;3.7456295277449295e-100
200.0;1.0;198.0;1.3803032953577157e-20;0.81;162.0;0.01;2.0;b;str;['twitter','puretone'];0.18;36.0;5.521213181430863e-19
389.0;1.0;389.0;1.9653541647452678e-77;0.9331619537275064;363.0;0.0;0.0;d;str;['twitter','puretone'];0.06683804627249357;26.0;7.861416658981071e-76
129.0;1.0;128.0;3.889317585852533e-12;0.7906976744186046;102.0;0.007751937984496124;1.0;i;str;['twitter','puretone'];0.20155038759689922;26.0;1.555727034341013e-10
590.0;1.0;588.0;1.9012498778173308e-47;0.7864406779661017;464.0;0.003389830508474576;2.0;k;str;['twitter','puretone'];0.21016949152542372;124.0;7.604999511269323e-46
333.0;1.0;333.0;0.00021803752940097263;0.5975975975975976;199.0;0.0;0.0;a;voc;['infant','twitter'];0.4024024024024024;134.0;0.008721501176038905
218.0;1.0;217.0;0.9613383701881731;0.44036697247706424;96.0;0.0045871559633027525;1.0;b;voc;['infant','twitter'];0.555045871559633;121.0;1.0
40.0;1.0;33.0;0.002275692066177726;0.625;25.0;0.175;7.0;d;voc;['infant','twitter'];0.2;8.0;0.09102768264710903
1.0;1.0;1.0;0.5;1.0;1.0;0.0;0.0;i;voc;['infant','twitter'];0.0;0.0;1.0
751.0;1.0;749.0;6.716406717819066e-31;0.7057256990679095;530.0;0.002663115845539281;2.0;k;voc;['infant','twitter'];0.29161118508655126;219.0;2.6865626871276267e-29
335.0;1.0;334.0;1.1621917940653521e-05;0.6149253731343284;206.0;0.0029850746268656717;1.0;a;vocMAT;['infant','twitter'];0.382089552238806;128.0;0.00046487671762614083
214.0;1.0;214.0;1.940261326890462e-09;0.7009345794392523;150.0;0.0;0.0;b;vocMAT;['infant','twitter'];0.29906542056074764;64.0;7.761045307561848e-08
33.0;1.0;33.0;0.3641662404406816;0.5454545454545454;18.0;0.0;0.0;d;vocMAT;['infant','twitter'];0.45454545454545453;15.0;1.0
4.0;1.0;4.0;0.6875;0.5;2.0;0.0;0.0;i;vocMAT;['infant','twitter'];0.5;2.0;1.0
787.0;1.0;785.0;3.134731728958474e-30;0.6988564167725541;550.0;0.0025412960609911056;2.0;k;vocMAT;['infant','twitter'];0.29860228716645487;235.0;1.2538926915833896e-28
186.0;1.0;183.0;4.438823783447381e-22;0.8279569892473119;154.0;0.016129032258064516;3.0;a;str;['phee','puretone'];0.15591397849462366;29.0;1.7755295133789525e-20
320.0;1.0;315.0;3.9798388985384604e-10;0.6625;212.0;0.015625;5.0;b;str;['phee','puretone'];0.321875;103.0;1.591935559415384e-08
328.0;1.0;324.0;8.932710392386042e-47;0.8658536585365854;284.0;0.012195121951219513;4.0;d;str;['phee','puretone'];0.12195121951219512;40.0;3.573084156954417e-45
9.0;1.0;9.0;0.01953125;0.8888888888888888;8.0;0.0;0.0;i;str;['phee','puretone'];0.1111111111111111;1.0;0.78125
597.0;1.0;596.0;1.3379643179614924e-88;0.8827470686767169;527.0;0.0016750418760469012;1.0;k;str;['phee','puretone'];0.11557788944723618;69.0;5.35185727184597e-87
185.0;1.0;184.0;4.846444929580072e-23;0.8432432432432433;156.0;0.005405405405405406;1.0;a;vocMAP;['phee','puretone'];0.15135135135135136;28.0;1.9385779718320286e-21
316.0;1.0;314.0;2.5801353461909543e-10;0.6708860759493671;212.0;0.006329113924050633;2.0;b;vocMAP;['phee','puretone'];0.3227848101265823;102.0;1.0320541384763817e-08
336.0;1.0;335.0;6.84137036720516e-55;0.8958333333333334;301.0;0.002976190476190476;1.0;d;vocMAP;['phee','puretone'];0.10119047619047619;34.0;2.736548146882064e-53
10.0;1.0;10.0;0.171875;0.7;7.0;0.0;0.0;i;vocMAP;['phee','puretone'];0.3;3.0;1.0
632.0;1.0;629.0;1.0065321095774383e-64;0.8212025316455697;519.0;0.004746835443037975;3.0;k;vocMAP;['phee','puretone'];0.17405063291139242;110.0;4.026128438309753e-63
54.0;1.0;54.0;0.17044547061004856;0.5740740740740741;31.0;0.0;0.0;a;vocMAT;['wnoise','twitter'];0.42592592592592593;23.0;1.0
150.0;1.0;149.0;1.8991542658353474e-19;0.8466666666666667;127.0;0.006666666666666667;1.0;b;vocMAT;['wnoise','twitter'];0.14666666666666667;22.0;7.59661706334139e-18
129.0;1.0;129.0;1.2225722610064198e-18;0.8682170542635659;112.0;0.0;0.0;d;vocMAT;['wnoise','twitter'];0.13178294573643412;17.0;4.8902890440256795e-17
142.0;1.0;141.0;8.431397049925659e-11;0.7605633802816901;108.0;0.007042253521126761;1.0;i;vocMAT;['wnoise','twitter'];0.2323943661971831;33.0;3.3725588199702636e-09
541.0;1.0;532.0;1.886232245303683e-12;0.6395563770794824;346.0;0.0166358595194085;9.0;k;vocMAT;['wnoise','twitter'];0.3438077634011091;186.0;7.544928981214732e-11
54.0;1.0;54.0;0.00991716336403414;0.6666666666666666;36.0;0.0;0.0;a;wNoise;['wnoise','twitter'];0.3333333333333333;18.0;0.3966865345613656
154.0;1.0;146.0;0.998187609506231;0.36363636363636365;56.0;0.05194805194805195;8.0;b;wNoise;['wnoise','twitter'];0.5844155844155844;90.0;1.0
130.0;1.0;129.0;4.2740686869144714e-23;0.9;117.0;0.007692307692307693;1.0;d;wNoise;['wnoise','twitter'];0.09230769230769231;12.0;1.7096274747657886e-21
144.0;1.0;143.0;6.25868548822466e-23;0.8819444444444444;127.0;0.006944444444444444;1.0;i;wNoise;['wnoise','twitter'];0.1111111111111111;16.0;2.503474195289864e-21
624.0;1.0;615.0;0.8527808806451279;0.47275641025641024;295.0;0.014423076923076924;9.0;k;wNoise;['wnoise','twitter'];0.5128205128205128;320.0;1.0
