monkey,task,dprime,trials
d,"['twitter','puretone']",2.02,775.0
a,"['twitter','puretone']",1.76,1065.0
d,"['wnoise','twitter']",1.73,259.0
d,"['phee','puretone']",1.72,664.0
k,"['phee','puretone']",1.51,1229.0
b,"['twitter','puretone']",1.49,391.0
a,"['phee','puretone']",1.43,371.0
i,"['wnoise','twitter']",1.37,286.0
i,"['twitter','puretone']",1.2,249.0
k,"['twitter','puretone']",1.15,1191.0
k,"['infant','twitter']",0.76,1538.0
b,"['phee','puretone']",0.64,636.0
d,"['infant','twitter']",0.57,73.0
b,"['wnoise','twitter']",0.53,304.0
a,"['wnoise','twitter']",0.44,108.0
a,"['infant','twitter']",0.38,668.0
b,"['infant','twitter']",0.27,432.0
k,"['wnoise','twitter']",0.24,1165.0
