monkey;task;session;trials;stimulus;selection
g;Artificial Discrimination;48,0;216,0;str;ctr
g;Artificial Discrimination;48,0;217,0;ctr;str
g;Artificial Discrimination;48,0;218,0;ctr;ctr
g;Artificial Discrimination;48,0;219,0;str;str
g;Artificial Discrimination;48,0;220,0;ctr;str
g;Artificial Discrimination;48,0;221,0;ctr;str
g;Artificial Discrimination;48,0;222,0;ctr;ctr
g;Artificial Discrimination;48,0;223,0;ctr;str
g;Artificial Discrimination;48,0;224,0;str;str
g;Artificial Discrimination;48,0;225,0;str;str
g;Artificial Discrimination;48,0;226,0;str;ctr
g;Artificial Discrimination;48,0;227,0;ctr;str
g;Artificial Discrimination;48,0;228,0;str;ctr
g;Artificial Discrimination;48,0;229,0;ctr;ctr
g;Artificial Discrimination;48,0;230,0;str;ctr
g;Artificial Discrimination;48,0;231,0;str;ctr
g;Artificial Discrimination;48,0;232,0;ctr;str
g;Artificial Discrimination;48,0;233,0;str;str
g;Artificial Discrimination;48,0;234,0;ctr;str
g;Artificial Discrimination;48,0;235,0;ctr;str
g;Artificial Discrimination;48,0;236,0;ctr;ctr
g;Artificial Discrimination;48,0;237,0;ctr;str
g;Artificial Discrimination;48,0;238,0;str;ctr
g;Artificial Discrimination;48,0;239,0;ctr;str
g;Artificial Discrimination;48,0;240,0;str;str
g;Artificial Discrimination;48,0;241,0;str;str
g;Artificial Discrimination;48,0;242,0;str;str
g;Artificial Discrimination;48,0;243,0;ctr;str
g;Artificial Discrimination;48,0;244,0;ctr;str
g;Artificial Discrimination;48,0;245,0;ctr;ctr
g;Artificial Discrimination;48,0;246,0;ctr;ctr
g;Artificial Discrimination;48,0;247,0;str;ctr
g;Artificial Discrimination;48,0;248,0;ctr;ctr
g;Artificial Discrimination;48,0;249,0;ctr;str
g;Artificial Discrimination;48,0;250,0;ctr;str
g;Artificial Discrimination;48,0;251,0;str;ctr
g;Artificial Discrimination;48,0;252,0;ctr;str
g;Artificial Discrimination;48,0;253,0;ctr;str
g;Artificial Discrimination;48,0;254,0;str;ctr
g;Artificial Discrimination;48,0;255,0;ctr;str
g;Artificial Discrimination;48,0;256,0;ctr;ctr
g;Artificial Discrimination;49,0;25,0;ctr;ctr
g;Artificial Discrimination;49,0;26,0;ctr;str
g;Artificial Discrimination;49,0;27,0;ctr;str
g;Artificial Discrimination;49,0;28,0;str;ctr
g;Artificial Discrimination;49,0;79,0;ctr;str
g;Artificial Discrimination;49,0;80,0;ctr;str
g;Artificial Discrimination;49,0;81,0;str;ctr
g;Artificial Discrimination;49,0;82,0;ctr;str
g;Artificial Discrimination;49,0;83,0;ctr;ctr
g;Artificial Discrimination;49,0;93,0;str;str
g;Artificial Discrimination;49,0;94,0;ctr;str
g;Artificial Discrimination;49,0;95,0;ctr;ctr
g;Artificial Discrimination;49,0;96,0;str;ctr
g;Artificial Discrimination;49,0;97,0;str;ctr
g;Artificial Discrimination;49,0;98,0;ctr;str
g;Artificial Discrimination;49,0;99,0;str;ctr
g;Artificial Discrimination;49,0;100,0;str;str
g;Artificial Discrimination;49,0;101,0;ctr;str
g;Artificial Discrimination;49,0;102,0;ctr;ctr
g;Artificial Discrimination;49,0;103,0;ctr;ctr
g;Artificial Discrimination;49,0;104,0;ctr;str
g;Artificial Discrimination;49,0;105,0;str;ctr
g;Artificial Discrimination;49,0;106,0;ctr;str
g;Artificial Discrimination;49,0;107,0;ctr;str
g;Artificial Discrimination;49,0;108,0;str;str
g;Artificial Discrimination;49,0;109,0;str;ctr
g;Artificial Discrimination;49,0;117,0;str;ctr
g;Artificial Discrimination;49,0;118,0;ctr;str
g;Artificial Discrimination;49,0;119,0;ctr;ctr
g;Artificial Discrimination;49,0;138,0;ctr;str
g;Artificial Discrimination;49,0;139,0;str;ctr
g;Artificial Discrimination;49,0;140,0;ctr;ctr
g;Artificial Discrimination;49,0;141,0;ctr;ctr
g;Artificial Discrimination;49,0;142,0;str;str
g;Artificial Discrimination;49,0;143,0;str;ctr
g;Artificial Discrimination;49,0;144,0;ctr;ctr
g;Artificial Discrimination;49,0;145,0;ctr;str
g;Artificial Discrimination;49,0;146,0;ctr;str
g;Artificial Discrimination;49,0;147,0;str;str
g;Artificial Discrimination;49,0;148,0;ctr;ctr
g;Artificial Discrimination;49,0;149,0;ctr;ctr
g;Artificial Discrimination;49,0;150,0;str;str
g;Artificial Discrimination;49,0;151,0;str;str
g;Artificial Discrimination;49,0;152,0;ctr;ctr
g;Artificial Discrimination;49,0;153,0;ctr;str
g;Artificial Discrimination;49,0;154,0;str;ctr
g;Artificial Discrimination;49,0;155,0;str;ctr
g;Artificial Discrimination;49,0;156,0;ctr;str
g;Artificial Discrimination;49,0;157,0;ctr;str
g;Artificial Discrimination;49,0;166,0;ctr;str
g;Artificial Discrimination;49,0;167,0;str;ctr
g;Artificial Discrimination;49,0;168,0;str;ctr
g;Artificial Discrimination;49,0;169,0;ctr;str
g;Artificial Discrimination;49,0;170,0;ctr;str
g;Artificial Discrimination;49,0;171,0;ctr;ctr
g;Artificial Discrimination;49,0;202,0;str;str
g;Artificial Discrimination;49,0;203,0;ctr;ctr
g;Artificial Discrimination;49,0;204,0;ctr;str
g;Artificial Discrimination;49,0;221,0;ctr;ctr
g;Artificial Discrimination;49,0;222,0;str;ctr
g;Artificial Discrimination;49,0;223,0;ctr;str
g;Artificial Discrimination;49,0;224,0;ctr;ctr
g;Artificial Discrimination;49,0;225,0;str;ctr
g;Artificial Discrimination;49,0;226,0;str;str
g;Artificial Discrimination;49,0;227,0;str;str
g;Artificial Discrimination;49,0;228,0;str;str
g;Artificial Discrimination;49,0;229,0;ctr;str
g;Artificial Discrimination;49,0;230,0;ctr;ctr
g;Artificial Discrimination;49,0;231,0;str;ctr
g;Artificial Discrimination;49,0;232,0;ctr;ctr
g;Artificial Discrimination;49,0;233,0;str;str
g;Artificial Discrimination;49,0;234,0;ctr;ctr
g;Artificial Discrimination;49,0;235,0;str;str
g;Artificial Discrimination;49,0;236,0;str;str
g;Artificial Discrimination;49,0;237,0;ctr;str
g;Artificial Discrimination;50,0;210,0;str;ctr
g;Artificial Discrimination;50,0;211,0;ctr;str
g;Artificial Discrimination;50,0;212,0;ctr;ctr
g;Artificial Discrimination;50,0;213,0;ctr;ctr
g;Artificial Discrimination;50,0;214,0;str;str
g;Artificial Discrimination;50,0;215,0;str;str
g;Artificial Discrimination;50,0;216,0;ctr;ctr
g;Artificial Discrimination;50,0;217,0;ctr;ctr
g;Artificial Discrimination;50,0;218,0;str;str
g;Artificial Discrimination;50,0;219,0;str;ctr
g;Artificial Discrimination;50,0;220,0;str;str
g;Artificial Discrimination;50,0;221,0;str;ctr
g;Artificial Discrimination;50,0;222,0;ctr;str
g;Artificial Discrimination;50,0;223,0;str;str
g;Artificial Discrimination;50,0;224,0;ctr;str
g;Artificial Discrimination;50,0;225,0;ctr;ctr
g;Artificial Discrimination;50,0;226,0;ctr;str
g;Artificial Discrimination;50,0;227,0;ctr;ctr
g;Artificial Discrimination;50,0;228,0;str;str
g;Artificial Discrimination;50,0;229,0;str;ctr
g;Artificial Discrimination;50,0;230,0;str;ctr
g;Artificial Discrimination;50,0;231,0;ctr;ctr
g;Artificial Discrimination;50,0;232,0;str;ctr
g;Artificial Discrimination;50,0;233,0;str;ctr
g;Artificial Discrimination;50,0;234,0;ctr;str
g;Artificial Discrimination;50,0;235,0;ctr;str
g;Artificial Discrimination;50,0;236,0;ctr;ctr
g;Artificial Discrimination;50,0;237,0;str;ctr
g;Artificial Discrimination;50,0;238,0;str;str
g;Artificial Discrimination;50,0;239,0;str;ctr
g;Artificial Discrimination;50,0;240,0;str;ctr
g;Artificial Discrimination;50,0;241,0;ctr;str
g;Artificial Discrimination;50,0;242,0;ctr;str
g;Artificial Discrimination;50,0;243,0;str;str
g;Artificial Discrimination;50,0;244,0;str;ctr
g;Artificial Discrimination;50,0;245,0;str;str
g;Artificial Discrimination;50,0;246,0;ctr;ctr
g;Artificial Discrimination;50,0;247,0;ctr;ctr
g;Artificial Discrimination;50,0;248,0;str;str
g;Artificial Discrimination;50,0;249,0;str;str
g;Artificial Discrimination;50,0;250,0;ctr;ctr
g;Artificial Discrimination;50,0;251,0;str;str
g;Artificial Discrimination;50,0;252,0;str;str
g;Artificial Discrimination;50,0;253,0;str;str
g;Artificial Discrimination;50,0;254,0;ctr;ctr
g;Artificial Discrimination;50,0;255,0;ctr;str
g;Artificial Discrimination;50,0;256,0;str;str
g;Artificial Discrimination;50,0;257,0;str;ctr
g;Artificial Discrimination;50,0;258,0;str;ctr
g;Artificial Discrimination;50,0;259,0;ctr;str
g;Artificial Discrimination;50,0;260,0;ctr;str
g;Artificial Discrimination;50,0;261,0;ctr;str
g;Artificial Discrimination;50,0;262,0;str;str
g;Artificial Discrimination;50,0;263,0;ctr;ctr
g;Artificial Discrimination;50,0;264,0;str;ctr
g;Artificial Discrimination;50,0;265,0;ctr;str
g;Artificial Discrimination;50,0;266,0;ctr;ctr
g;Artificial Discrimination;50,0;267,0;ctr;ctr
g;Artificial Discrimination;50,0;268,0;str;ctr
g;Artificial Discrimination;50,0;269,0;ctr;str
g;Artificial Discrimination;50,0;270,0;str;ctr
g;Artificial Discrimination;50,0;271,0;str;str
g;Artificial Discrimination;50,0;272,0;ctr;ctr
g;Artificial Discrimination;50,0;273,0;ctr;ctr
g;Artificial Discrimination;50,0;274,0;ctr;ctr
g;Artificial Discrimination;50,0;275,0;str;str
g;Artificial Discrimination;50,0;276,0;ctr;str
g;Artificial Discrimination;50,0;277,0;str;str
