monkey;task;reactionTime;outcome;stimulus;my_col
g;Artificial Discrimination;0,895;correct;ctr;0,895
g;Artificial Discrimination;0,867;correct;str;0,867
g;Artificial Discrimination;0,686;correct;ctr;0,686
g;Artificial Discrimination;1,213;correct;str;1,213
g;Artificial Discrimination;1,437;correct;str;1,437
g;Artificial Discrimination;2,943;correct;str;2,943
g;Artificial Discrimination;1,213;correct;ctr;1,213
g;Artificial Discrimination;3,543;correct;str;3,543
g;Artificial Discrimination;1,627;correct;str;1,627
g;Artificial Discrimination;1,751;correct;str;1,751
g;Artificial Discrimination;1,273;correct;ctr;1,273
g;Artificial Discrimination;0,728;correct;ctr;0,728
g;Artificial Discrimination;1,342;correct;ctr;1,342
g;Artificial Discrimination;0,954;correct;ctr;0,954
g;Artificial Discrimination;2,161;correct;ctr;2,161
g;Artificial Discrimination;2,264;correct;ctr;2,264
g;Artificial Discrimination;3,859;correct;str;3,859
g;Artificial Discrimination;2,865;correct;ctr;2,865
g;Artificial Discrimination;2,62;correct;ctr;2,62
g;Artificial Discrimination;3,374;correct;ctr;3,374
g;Artificial Discrimination;1,007;correct;str;1,007
g;Artificial Discrimination;1,435;correct;ctr;1,435
g;Artificial Discrimination;2,201;correct;ctr;2,201
g;Artificial Discrimination;3,326;correct;ctr;3,326
g;Artificial Discrimination;2,488;correct;str;2,488
g;Artificial Discrimination;2,128;correct;ctr;2,128
g;Artificial Discrimination;2,971;correct;str;2,971
g;Artificial Discrimination;3,361;correct;ctr;3,361
g;Artificial Discrimination;2,686;correct;ctr;2,686
g;Artificial Discrimination;2,808;correct;str;2,808
g;Artificial Discrimination;1,98;correct;str;1,98
g;Artificial Discrimination;4,302;correct;ctr;4,302
g;Artificial Discrimination;1,74;correct;ctr;1,74
g;Artificial Discrimination;1,276;correct;str;1,276
g;Artificial Discrimination;0,792;correct;ctr;0,792
g;Artificial Discrimination;2,778;correct;ctr;2,778
g;Artificial Discrimination;2,487;correct;ctr;2,487
g;Artificial Discrimination;1,594;correct;str;1,594
g;Artificial Discrimination;1,879;correct;str;1,879
g;Artificial Discrimination;1,5;correct;str;1,5
g;Artificial Discrimination;3,227;correct;ctr;3,227
g;Artificial Discrimination;1,852;correct;ctr;1,852
g;Artificial Discrimination;3,323;correct;str;3,323
g;Artificial Discrimination;1,21;correct;ctr;1,21
g;Artificial Discrimination;2,62;correct;str;2,62
g;Artificial Discrimination;4,091;correct;str;4,091
g;Artificial Discrimination;2,651;correct;ctr;2,651
g;Artificial Discrimination;4,061;correct;ctr;4,061
g;Artificial Discrimination;3,035;correct;str;3,035
g;Artificial Discrimination;2,493;correct;str;2,493
g;Artificial Discrimination;2,641;correct;ctr;2,641
g;Artificial Discrimination;2,202;correct;ctr;2,202
g;Artificial Discrimination;3,675;correct;str;3,675
g;Artificial Discrimination;2,718;correct;str;2,718
g;Artificial Discrimination;1,855;correct;ctr;1,855
g;Artificial Discrimination;1,904;correct;ctr;1,904
g;Artificial Discrimination;2,18;correct;str;2,18
g;Artificial Discrimination;1,308;correct;ctr;1,308
g;Artificial Discrimination;1,048;correct;ctr;1,048
g;Artificial Discrimination;1,143;correct;str;1,143
g;Artificial Discrimination;0,794;correct;str;0,794
g;Artificial Discrimination;1,792;correct;str;1,792
g;Artificial Discrimination;2,368;correct;ctr;2,368
g;Artificial Discrimination;0,957;correct;ctr;0,957
g;Artificial Discrimination;1,27;correct;str;1,27
g;Artificial Discrimination;3,686;correct;str;3,686
g;Artificial Discrimination;0,923;correct;str;0,923
g;Artificial Discrimination;1,017;correct;str;1,017
g;Artificial Discrimination;4,898;correct;str;4,898
g;Artificial Discrimination;1,303;correct;ctr;1,303
g;Artificial Discrimination;4,251;correct;str;4,251
g;Artificial Discrimination;0,702;correct;str;0,702
g;Artificial Discrimination;1,634;correct;ctr;1,634
g;Artificial Discrimination;1,565;correct;ctr;1,565
g;Artificial Discrimination;4,157;correct;ctr;4,157
g;Artificial Discrimination;1,654;correct;str;1,654
g;Artificial Discrimination;2,943;correct;ctr;2,943
g;Artificial Discrimination;1,983;correct;ctr;1,983
g;Artificial Discrimination;1,698;correct;ctr;1,698
g;Artificial Discrimination;2,943;correct;str;2,943
g;Artificial Discrimination;1,149;correct;str;1,149
g;Artificial Discrimination;3,48;correct;str;3,48
g;Artificial Discrimination;1,38;correct;ctr;1,38
g;Artificial Discrimination;1,206;correct;ctr;1,206
g;Artificial Discrimination;2,81;correct;ctr;2,81
g;Artificial Discrimination;1,628;correct;str;1,628
g;Artificial Discrimination;1,057;correct;str;1,057
g;Artificial Discrimination;1,672;correct;ctr;1,672
g;Artificial Discrimination;4,131;correct;str;4,131
g;Artificial Discrimination;2,298;correct;ctr;2,298
g;Artificial Discrimination;1,084;correct;ctr;1,084
g;Artificial Discrimination;1,855;correct;str;1,855
g;Artificial Discrimination;2,628;correct;ctr;2,628
g;Artificial Discrimination;2,939;correct;str;2,939
g;Artificial Discrimination;2,842;correct;str;2,842
g;Artificial Discrimination;3,1;correct;str;3,1
g;Artificial Discrimination;1,308;correct;str;1,308
g;Artificial Discrimination;3,962;correct;ctr;3,962
g;Artificial Discrimination;0,719;correct;str;0,719
g;Artificial Discrimination;1,309;correct;ctr;1,309
g;Artificial Discrimination;0,891;correct;ctr;0,891
g;Artificial Discrimination;3,62;correct;ctr;3,62
g;Artificial Discrimination;2,879;correct;str;2,879
g;Artificial Discrimination;3,33;correct;ctr;3,33
g;Artificial Discrimination;2,84;correct;ctr;2,84
g;Artificial Discrimination;1,408;correct;ctr;1,408
g;Artificial Discrimination;1,057;correct;str;1,057
g;Artificial Discrimination;2,332;correct;str;2,332
g;Artificial Discrimination;2,621;correct;ctr;2,621
g;Artificial Discrimination;3,548;correct;ctr;3,548
g;Artificial Discrimination;0,989;correct;str;0,989
g;Artificial Discrimination;4,627;correct;ctr;4,627
g;Artificial Discrimination;1,38;correct;ctr;1,38
g;Artificial Discrimination;0,867;correct;ctr;0,867
g;Artificial Discrimination;2,938;correct;str;2,938
g;Artificial Discrimination;1,905;correct;ctr;1,905
g;Artificial Discrimination;1,109;correct;ctr;1,109
g;Artificial Discrimination;3,715;correct;ctr;3,715
g;Artificial Discrimination;2,913;correct;str;2,913
g;Artificial Discrimination;3,072;correct;ctr;3,072
g;Artificial Discrimination;3,672;correct;str;3,672
g;Artificial Discrimination;2,488;correct;str;2,488
g;Artificial Discrimination;3,924;correct;ctr;3,924
g;Artificial Discrimination;3,321;correct;str;3,321
g;Artificial Discrimination;2,593;correct;str;2,593
g;Artificial Discrimination;2,493;correct;ctr;2,493
g;Artificial Discrimination;1,102;correct;ctr;1,102
g;Artificial Discrimination;1,565;correct;ctr;1,565
g;Artificial Discrimination;0,758;correct;str;0,758
g;Artificial Discrimination;1,726;correct;str;1,726
g;Artificial Discrimination;0,993;correct;str;0,993
g;Artificial Discrimination;3,513;correct;str;3,513
g;Artificial Discrimination;3,988;correct;str;3,988
g;Artificial Discrimination;3,729;correct;ctr;3,729
g;Artificial Discrimination;0,945;correct;ctr;0,945
g;Artificial Discrimination;0,894;correct;str;0,894
g;Artificial Discrimination;1,915;correct;str;1,915
g;Artificial Discrimination;1,082;correct;str;1,082
g;Artificial Discrimination;1,147;correct;ctr;1,147
g;Artificial Discrimination;3,762;correct;ctr;3,762
g;Artificial Discrimination;2,594;correct;ctr;2,594
g;Artificial Discrimination;2,476;correct;str;2,476
g;Artificial Discrimination;1,941;correct;ctr;1,941
g;Artificial Discrimination;2,036;correct;str;2,036
g;Artificial Discrimination;2,266;correct;str;2,266
g;Artificial Discrimination;3,38;correct;ctr;3,38
g;Artificial Discrimination;2,074;correct;ctr;2,074
g;Artificial Discrimination;1,023;correct;str;1,023
g;Artificial Discrimination;2,611;correct;str;2,611
g;Artificial Discrimination;0,925;correct;ctr;0,925
g;Artificial Discrimination;2,552;correct;ctr;2,552
g;Artificial Discrimination;2,299;correct;str;2,299
g;Artificial Discrimination;1,011;correct;str;1,011
g;Artificial Discrimination;2,781;correct;ctr;2,781
g;Artificial Discrimination;2,88;correct;ctr;2,88
g;Artificial Discrimination;1,748;correct;str;1,748
g;Artificial Discrimination;1,919;correct;str;1,919
g;Artificial Discrimination;2,139;correct;ctr;2,139
g;Artificial Discrimination;0,786;correct;str;0,786
g;Artificial Discrimination;1,305;correct;ctr;1,305
g;Artificial Discrimination;0,954;correct;str;0,954
g;Artificial Discrimination;1,14;correct;ctr;1,14
g;Artificial Discrimination;1,854;correct;str;1,854
g;Artificial Discrimination;1,715;correct;str;1,715
g;Artificial Discrimination;1,363;correct;ctr;1,363
g;Artificial Discrimination;0,896;correct;str;0,896
g;Artificial Discrimination;2,062;correct;str;2,062
g;Artificial Discrimination;0,688;correct;ctr;0,688
g;Artificial Discrimination;0,668;correct;str;0,668
g;Artificial Discrimination;3,141;correct;str;3,141
g;Artificial Discrimination;0,675;correct;ctr;0,675
g;Artificial Discrimination;0,677;correct;str;0,677
g;Artificial Discrimination;4,344;correct;ctr;4,344
g;Artificial Discrimination;2,233;correct;str;2,233
g;Artificial Discrimination;0,789;correct;ctr;0,789
g;Artificial Discrimination;1,345;correct;ctr;1,345
g;Artificial Discrimination;0,704;correct;str;0,704
g;Artificial Discrimination;1,492;correct;ctr;1,492
g;Artificial Discrimination;4,035;correct;str;4,035
g;Artificial Discrimination;4,558;correct;ctr;4,558
g;Artificial Discrimination;4,048;correct;str;4,048
g;Artificial Discrimination;3,375;correct;ctr;3,375
g;Artificial Discrimination;4,13;correct;str;4,13
g;Artificial Discrimination;0,757;correct;str;0,757
g;Artificial Discrimination;1,814;correct;ctr;1,814
g;Artificial Discrimination;4,379;correct;str;4,379
g;Artificial Discrimination;4,051;correct;ctr;4,051
g;Artificial Discrimination;2,408;correct;ctr;2,408
g;Artificial Discrimination;1,894;correct;ctr;1,894
g;Artificial Discrimination;3,838;correct;str;3,838
g;Artificial Discrimination;1,923;correct;ctr;1,923
g;Artificial Discrimination;2,462;correct;str;2,462
g;Artificial Discrimination;1,219;correct;str;1,219
g;Artificial Discrimination;0,793;correct;str;0,793
g;Artificial Discrimination;2,102;correct;ctr;2,102
g;Artificial Discrimination;1,184;correct;ctr;1,184
g;Artificial Discrimination;0,674;correct;str;0,674
