ITI;Outcome;animal
3614.0;reward;d
4607.0;wrong;d
655451.0;reward;d
8734.0;reward;d
6014.0;wrong;d
36287.0;reward;d
4736.0;reward;d
6079.0;wrong;d
2975.0;reward;d
4576.0;wrong;d
56956.0;wrong;d
14974.0;wrong;d
83679.0;wrong;d
3614.0;reward;d
17663.0;reward;d
4927.0;reward;d
4896.0;wrong;d
9375.0;wrong;d
3071.0;wrong;d
2931576.0;wrong;d
7071.0;wrong;d
2204.0;reward;d
6908.0;wrong;d
29310.0;reward;d
6399.0;reward;d
5759.0;wrong;d
2846.0;reward;d
7615.0;reward;d
5184.0;reward;d
5218.0;wrong;d
21791.0;wrong;d
15869.0;wrong;d
2718.0;wrong;d
2722.0;wrong;d
3164.0;wrong;d
38750.0;wrong;d
26174.0;reward;d
7679.0;reward;d
9532.0;wrong;d
25694.0;reward;d
8127.0;wrong;d
2943.0;reward;d
6080.0;reward;d
8799.0;wrong;d
21952.0;wrong;d
15902.0;wrong;d
4319.0;reward;d
6975.0;reward;d
5311.0;reward;d
4799.0;reward;d
11231.0;wrong;d
29343.0;wrong;d
3039.0;wrong;d
25759.0;reward;d
5247.0;reward;d
5984.0;wrong;d
3166.0;reward;d
5696.0;reward;d
18368.0;reward;d
5695.0;reward;d
5247.0;reward;d
5375.0;reward;d
6977.0;reward;d
6303.0;reward;d
5408.0;reward;d
6111.0;reward;d
5311.0;wrong;d
9439.0;reward;d
7839.0;wrong;d
2911.0;reward;d
7295.0;reward;d
7199.0;wrong;d
72414.0;reward;d
4575.0;wrong;d
516027.0;reward;d
20543.0;wrong;d
5695.0;reward;d
7552.0;wrong;d
63357.0;wrong;d
4960.0;wrong;d
137694.0;wrong;d
61919.0;reward;d
19230.0;wrong;d
526172.0;reward;d
6816.0;reward;d
6910.0;wrong;d
-14092532.0;reward;d
11071.0;reward;d
5792.0;wrong;d
2814.0;reward;d
3903.0;reward;d
4031.0;reward;d
4065.0;reward;d
4129.0;reward;d
4544.0;reward;d
5695.0;wrong;d
17601.0;wrong;d
21565.0;wrong;d
28061.0;reward;d
7072.0;wrong;d
13986.0;wrong;d
65343.0;wrong;d
197439.0;wrong;d
260799.0;reward;d
24191.0;wrong;d
48958.0;wrong;d
859679.0;wrong;d
2136631.0;wrong;d
32289.0;reward;d
34048.0;reward;d
16351.0;wrong;d
4799.0;wrong;d
11519.0;reward;d
5567.0;reward;d
9056.0;reward;d
5116.0;reward;d
7710.0;wrong;d
9247.0;reward;d
6111.0;reward;d
6335.0;reward;d
6018.0;wrong;d
2878.0;wrong;d
23519.0;reward;d
15773.0;reward;d
5600.0;wrong;d
3263.0;wrong;d
30846.0;wrong;d
12607.0;reward;d
6144.0;reward;d
4767.0;reward;d
5567.0;wrong;d
11805.0;wrong;d
3038.0;reward;d
7071.0;reward;d
40192.0;wrong;d
101629.0;wrong;d
554714.0;wrong;d
54078.0;reward;d
5279.0;wrong;d
-6277281.0;wrong;d
3778.0;reward;d
6620.0;wrong;d
48959.0;reward;d
6079.0;reward;d
30527.0;reward;d
6752.0;reward;d
15424.0;reward;d
6689.0;reward;d
415997.0;reward;d
5983.0;reward;d
5758.0;wrong;d
2846.0;reward;d
5439.0;reward;d
4832.0;reward;d
4670.0;reward;d
733565.0;reward;d
105086.0;reward;d
6848.0;reward;d
6271.0;reward;d
8607.0;reward;d
2368313.0;reward;d
6334.0;reward;d
5823.0;reward;d
5951.0;wrong;d
2846.0;reward;d
20256.0;reward;d
8606.0;reward;d
6527.0;reward;d
